Year,Mean_TemperatureC
1948,9.653005464480874
1949,10.167123287671233
1950,9.449315068493151
1951,9.92876712328767
1952,10.05464480874317
1953,10.402739726027397
1954,9.728767123287671
1955,8.808219178082192
1956,9.816939890710383
1957,10.38082191780822
1958,12.09041095890411
1959,10.432876712328767
1960,10.23224043715847
1961,10.986301369863014
1962,10.408219178082192
1963,10.8
1964,9.89344262295082
1965,11.243835616438357
1966,10.92876712328767
1967,11.643835616438356
1968,11.142076502732241
1969,11.205479452054794
1970,10.964383561643835
1971,10.257534246575343
1972,10.562841530054644
1973,10.73150684931507
1974,11.27945205479452
1975,10.624657534246575
1976,11.254098360655737
1977,11.482191780821918
1978,11.372602739726027
1979,11.64109589041096
1980,10.69672131147541
1981,11.402739726027397
1982,10.756164383561643
1983,11.421917808219177
1984,10.792349726775956
1985,9.953424657534246
1986,11.58904109589041
1987,11.964383561643835
1988,11.229508196721312
1989,11.317808219178081
1990,11.263013698630138
1991,11.504109589041096
1992,12.363387978142077
1993,11.197260273972603
1994,11.884931506849314
1995,12.438356164383562
1996,10.915300546448087
1997,11.342465753424657
1998,11.572602739726028
1999,10.646575342465754
2000,10.681481481481482
2001,10.608219178082193
2002,10.758904109589041
2003,11.567123287671233
2004,11.789617486338798
2005,11.643835616438356
2006,11.808219178082192
2007,11.26027397260274
2008,10.980874316939891
2009,11.35890410958904
2010,11.64931506849315
2012,11.40983606557377
2013,12.252054794520548
2014,12.983561643835616
2015,13.257534246575343
